"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_653",33.3825573965648,22.8368582778629,"bac_ASV_653","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium_vulgare","bac",0,0,0,0
"bac_ASV_655",-39.266837719123,5.68369675708144,"bac_ASV_655","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_657",36.2617899395062,5.95707447248571,"bac_ASV_657","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Unassigned","bac",0,0,0,0
"bac_ASV_66",6.97461022433777,-38.0498048714905,"bac_ASV_66","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","Bacillus_funiculus","bac",0,0,0,0
"bac_ASV_661",10.9796107951394,-1.45402321097365,"bac_ASV_661","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",1,0.197414806110458,0,1
"bac_ASV_662",34.6609249255107,-1.05262962312336,"bac_ASV_662","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_663",-15.8518322448249,-39.0444650400667,"bac_ASV_663","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",0,0,0,0
"bac_ASV_67",3.45755990863448,-38.5067827385577,"bac_ASV_67","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Unassigned","bac",0,0,0,0
"bac_ASV_670",-17.4541397700043,37.2514473414622,"bac_ASV_670","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_672",-3.65489546744946,-35.1009725066588,"bac_ASV_672","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_674",27.2303258761883,19.7583260949575,"bac_ASV_674","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_678",-35.4563992256065,-21.4971718283235,"bac_ASV_678","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_68",-20.687533361876,-35.6952853739789,"bac_ASV_68","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_680",18.9072341961348,33.5404938057186,"bac_ASV_680","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","bac",0,0,0,0
"bac_ASV_682",-23.9996356442891,-21.2925470215139,"bac_ASV_682","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,1,1,2
"bac_ASV_683",-8.32544107788374,43.5687104612133,"bac_ASV_683","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",0,0,0,0
"bac_ASV_69",34.6844876733201,-6.81899504474269,"bac_ASV_69","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia_insulae","bac",1,1,0,1
"bac_ASV_693",-42.1121004151094,-5.1796805247943,"bac_ASV_693","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",0,0,0,0
"bac_ASV_694",-0.450361059952973,-36.6764158359905,"bac_ASV_694","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","bac",0,0,0,0
"bac_ASV_7",22.9033902729527,-31.6506512183445,"bac_ASV_7","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_70",29.0488779414193,-26.5548074281428,"bac_ASV_70","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",0,0,0,0
"bac_ASV_707",5.50892857866907,-2.42825104923305,"bac_ASV_707","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Unassigned","Unassigned","bac",6,0.245255474452555,1244.10690565314,6
"bac_ASV_71",27.9150775369559,0.501933076578046,"bac_ASV_71","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium_laguerreae","bac",2,1,1,2
"bac_ASV_714",7.4423807778153,-25.7597213523913,"bac_ASV_714","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.116182572614108,1.33333333333333,2
